sa2_code,sa2,dhbresidence,ethnicity_priority,population,partially_vaccinated,fully_vaccinated,eligible_for_booster,boosted
118000,Waitakere,Waitemata,Pacific Peoples,70,67,67,53,31
118100,Albany South,Waitemata,Maori,93,91,86,63,38
118100,Albany South,Waitemata,Pacific Peoples,39,39,39,27,18
118200,Browns Bay South West,Waitemata,Maori,132,120,118,82,40
118200,Browns Bay South West,Waitemata,Pacific Peoples,36,36,36,26,13
118300,Browns Bay Central,Waitemata,Maori,100,96,95,73,42
118300,Browns Bay Central,Waitemata,Pacific Peoples,25,21,20,16,9
118400,Schnapper Rock,Waitemata,Maori,92,88,88,64,37
118400,Schnapper Rock,Waitemata,Pacific Peoples,31,29,29,20,9
118500,Pinehill ,Waitemata,Maori,71,62,60,38,21
118500,Pinehill ,Waitemata,Pacific Peoples,34,33,33,24,15
118600,North Harbour,Waitemata,Maori,76,59,58,46,25
118600,North Harbour,Waitemata,Pacific Peoples,8,10,10,8,2
118700,Browns Bay South East,Waitemata,Maori,80,73,71,54,35
118700,Browns Bay South East,Waitemata,Pacific Peoples,31,29,28,20,16
118800,Westgate Central,Waitemata,Maori,9,10,10,8,3
118800,Westgate Central,Waitemata,Pacific Peoples,4,3,3,1,0
118900,Greenhithe West,Waitemata,Maori,119,110,108,81,44
118900,Greenhithe West,Waitemata,Pacific Peoples,41,39,39,30,20
119000,Rothesay Bay,Waitemata,Maori,55,61,61,41,21
119000,Rothesay Bay,Waitemata,Pacific Peoples,25,33,33,21,9
119100,Greenhithe East,Waitemata,Maori,92,82,81,66,35
119100,Greenhithe East,Waitemata,Pacific Peoples,41,38,38,28,17
119200,Hobsonville,Waitemata,Maori,62,67,66,44,30
119200,Hobsonville,Waitemata,Pacific Peoples,61,56,55,41,20
119400,Greenhithe South,Waitemata,Maori,69,75,74,54,29
119400,Greenhithe South,Waitemata,Pacific Peoples,33,31,30,26,10
119500,Murrays Bay West,Waitemata,Maori,72,73,73,56,30
119500,Murrays Bay West,Waitemata,Pacific Peoples,17,16,16,13,6
119600,Westgate South,Waitemata,Maori,254,226,219,160,74
119600,Westgate South,Waitemata,Pacific Peoples,266,243,240,170,66
119700,Windsor Park,Waitemata,Maori,31,32,31,27,15
119700,Windsor Park,Waitemata,Pacific Peoples,18,17,17,12,5
119800,West Harbour West,Waitemata,Maori,543,492,465,281,132
119800,West Harbour West,Waitemata,Pacific Peoples,541,512,500,337,168
119900,Unsworth Heights West,Waitemata,Maori,53,54,52,36,20
119900,Unsworth Heights West,Waitemata,Pacific Peoples,46,48,48,38,26
120000,Murrays Bay East,Waitemata,Maori,64,63,63,47,28
120000,Murrays Bay East,Waitemata,Pacific Peoples,16,23,22,15,11
120100,Birdwood West,Waitemata,Maori,98,89,86,56,35
120100,Birdwood West,Waitemata,Pacific Peoples,47,40,40,24,14
120200,Hobsonville Point,Waitemata,Maori,239,236,235,193,125
120200,Hobsonville Point,Waitemata,Pacific Peoples,157,161,160,126,72
120300,West Harbour Clearwater Cove,Waitemata,Maori,195,198,193,146,84
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,156,156,152,119,70
120400,Unsworth Heights East,Waitemata,Maori,156,152,150,101,58
120400,Unsworth Heights East,Waitemata,Pacific Peoples,113,110,110,82,47
120500,Mairangi Bay North,Waitemata,Maori,83,83,81,56,30
120500,Mairangi Bay North,Waitemata,Pacific Peoples,40,36,36,28,14
120600,Massey Central,Waitemata,Maori,463,437,417,250,105
120600,Massey Central,Waitemata,Pacific Peoples,656,637,616,440,203
120700,West Harbour Luckens Point,Waitemata,Maori,99,99,98,77,45
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,91,90,85,57,36
120800,Mairangi Bay South,Waitemata,Maori,83,84,83,58,31
120800,Mairangi Bay South,Waitemata,Pacific Peoples,27,25,25,20,13
120900,Massey Royal Road West,Waitemata,Maori,372,336,323,195,93
120900,Massey Royal Road West,Waitemata,Pacific Peoples,444,443,435,308,141
121000,Bayview East,Waitemata,Maori,190,182,169,110,44
121000,Bayview East,Waitemata,Pacific Peoples,174,183,180,126,58
121100,Swanson Rural,Waitemata,Maori,195,179,177,131,76
121100,Swanson Rural,Waitemata,Pacific Peoples,67,68,66,54,29
121200,Sunnynook South,Waitemata,Maori,111,103,101,67,31
121200,Sunnynook South,Waitemata,Pacific Peoples,76,79,79,50,18
121300,Sunnynook North,Waitemata,Maori,97,96,93,67,33
121300,Sunnynook North,Waitemata,Pacific Peoples,45,44,42,34,18
121400,Bayview West,Waitemata,Maori,121,103,99,71,37
121400,Bayview West,Waitemata,Pacific Peoples,93,95,95,65,41
121500,Totara Vale North,Waitemata,Maori,157,149,148,101,56
121500,Totara Vale North,Waitemata,Pacific Peoples,97,91,90,70,35
121600,Royal Heights North,Waitemata,Maori,432,406,390,246,128
121600,Royal Heights North,Waitemata,Pacific Peoples,495,445,433,315,152
121700,Massey West,Waitemata,Maori,177,155,148,83,44
121700,Massey West,Waitemata,Pacific Peoples,213,199,194,128,54
121800,Beach Haven West,Waitemata,Maori,261,240,236,177,109
