sa2_code,sa2,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
145700,Stonefields East,Auckland,masked,masked,masked,masked,masked
145800,Glen Innes East-Wai O Taiki Bay,Auckland,573,540,628,912,860
145900,Penrose,Auckland,57,55,68,838,809
146000,Mount Wellington North East,Auckland,101,98,109,927,899
146100,Mangere Bridge Ambury,Counties Manukau,382,371,masked,>950,>950
146200,Mount Wellington Ferndale,Auckland,298,292,masked,>950,>950
146300,Point England,Auckland,723,687,819,883,839
146400,Bucklands Beach North,Counties Manukau,47,47,54,870,870
146500,Mount Wellington East,Auckland,173,167,198,874,843
146600,Mount Wellington West,Auckland,263,255,287,916,889
146700,Panmure West,Auckland,masked,masked,masked,masked,masked
146800,Mangere Bridge,Counties Manukau,392,384,416,942,923
146900,Oneroa East-Palm Beach,Auckland,54,53,64,844,828
147000,Tamaki,Auckland,655,626,721,908,868
147100,Panmure East,Auckland,318,300,352,903,852
147200,Mount Wellington Central,Auckland,371,356,400,928,890
147400,Sylvia Park,Auckland,masked,masked,masked,masked,masked
147500,Mangere Mountain View,Counties Manukau,538,513,581,926,883
147600,Surfdale,Auckland,168,160,179,939,894
147700,Mount Wellington Industrial,Auckland,masked,masked,masked,masked,masked
147800,Half Moon Bay West,Counties Manukau,79,78,88,898,886
147900,Auckland Airport,Counties Manukau,220,215,237,928,907
148000,Eastern Beach,Counties Manukau,44,44,47,936,936
148100,Sunnyhills West-Pakuranga North,Counties Manukau,133,130,masked,>950,>950
148200,Favona North,Counties Manukau,283,269,325,871,828
148300,Bucklands Beach Central,Counties Manukau,masked,masked,masked,masked,masked
148400,Farm Cove,Counties Manukau,60,60,masked,>950,>950
148500,Mangere North,Counties Manukau,250,238,299,836,796
148600,Favona West,Counties Manukau,332,311,masked,>950,>950
148700,Ostend,Auckland,146,142,154,948,922
148800,Half Moon Bay North East,Counties Manukau,masked,masked,masked,masked,masked
148900,Mangere West,Counties Manukau,522,491,609,857,806
149000,Pakuranga West,Counties Manukau,358,350,392,913,893
149100,Mount Wellington South West,Auckland,284,274,310,916,884
149200,Sunnyhills East,Counties Manukau,127,125,masked,>950,>950
149300,Half Moon Bay South East,Counties Manukau,141,138,150,940,920
149400,Favona East,Counties Manukau,318,309,359,886,861
149500,Mount Wellington South East,Auckland,418,390,450,929,867
149600,Otahuhu Industrial,Counties Manukau,masked,masked,masked,masked,masked
149700,Bucklands Beach South,Counties Manukau,92,90,99,929,909
149800,Pakuranga Central,Counties Manukau,245,233,masked,>950,>950
149900,Awhitu,Counties Manukau,212,207,261,812,793
150000,Harania North,Counties Manukau,363,342,408,890,838
