sa2_code,sa2_name,dhb,ta,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
133900,New Lynn Central,Waitemata,Auckland,masked,463,521,>950,889
134000,Cheltenham,Waitemata,Auckland,1751,1704,1860,941,916
134100,Queen Street South West,Auckland,Auckland,masked,masked,1443,>950,>950
134200,Mount Albert Central,Auckland,Auckland,masked,2941,3142,>950,936
134300,Karangahape,Auckland,Auckland,masked,1975,2107,>950,937
134400,Kingsland,Auckland,Auckland,masked,2652,2958,>950,897
134500,Anzac Avenue,Auckland,Auckland,masked,masked,2629,>950,>950
134600,Waima-Woodlands Park,Waitemata,Auckland,2004,1888,2161,927,874
134700,Kaurilands,Waitemata,Auckland,masked,2393,2683,>950,892
134800,Auckland-University,Auckland,Auckland,masked,masked,81,>950,>950
134900,New Lynn Seabrook,Waitemata,Auckland,2316,2128,2495,928,853
135000,Avondale South (Auckland),Auckland,Auckland,masked,3188,3550,>950,898
135100,Symonds Street North West,Auckland,Auckland,masked,masked,1903,>950,>950
135200,Mount Albert South,Auckland,Auckland,masked,2030,2204,>950,921
135300,Symonds Street West,Auckland,Auckland,masked,masked,2100,>950,>950
135400,West Lynn,Waitemata,Auckland,2447,2304,2618,935,880
135500,Owairaka West,Auckland,Auckland,masked,2255,2435,>950,926
135600,New Lynn Central South,Waitemata,Auckland,2473,2287,2603,950,879
135700,The Strand,Auckland,Auckland,masked,masked,1304,>950,>950
135800,St Lukes,Auckland,Auckland,1791,1683,1900,943,886
135900,Symonds Street East,Auckland,Auckland,masked,masked,1900,>950,>950
136000,Eden Terrace,Auckland,Auckland,masked,3948,4250,>950,929
136100,Grafton,Auckland,Auckland,masked,1425,1533,>950,930
136200,Eden Park,Auckland,Auckland,masked,1329,1454,>950,914
136300,Sandringham North,Auckland,Auckland,masked,3042,3252,>950,935
136400,Parnell West,Auckland,Auckland,3926,3708,4132,950,897
136500,New Lynn South,Waitemata,Auckland,masked,3342,3752,>950,891
136600,New Windsor North,Auckland,Auckland,2783,2622,2953,942,888
136700,Titirangi South,Waitemata,Auckland,3148,2997,3407,924,880
136800,Owairaka East,Auckland,Auckland,masked,1480,1620,>950,914
136900,Eden Valley,Auckland,Auckland,masked,1817,2020,>950,900
137000,Sandringham Central,Auckland,Auckland,masked,1880,2081,>950,903
137100,Glenavon,Auckland,Auckland,2296,2095,2532,907,827
137200,Blockhouse Bay North,Auckland,Auckland,3162,2976,3356,942,887
137300,Green Bay North,Waitemata,Auckland,1474,1382,1574,936,878
137400,Parnell East,Auckland,Auckland,2988,2872,3175,941,905
137500,Laingholm,Waitemata,Auckland,1811,1680,1967,921,854
137600,Sandringham West,Auckland,Auckland,masked,1897,2062,>950,920
137700,Mount Eden North East,Auckland,Auckland,masked,1033,1139,>950,907
137800,Mount Eden North,Auckland,Auckland,2853,2719,3042,938,894
137900,Wesley West,Auckland,Auckland,2557,2264,2862,893,791
138000,Green Bay South,Waitemata,Auckland,2434,2305,2579,944,894
138100,Balmoral,Auckland,Auckland,masked,2595,2808,>950,924
138200,Sandringham East,Auckland,Auckland,masked,2695,2914,>950,925
138300,New Windsor South,Auckland,Auckland,3593,3322,3822,940,869
138400,Mount Eden West,Auckland,Auckland,masked,2703,2890,>950,935
138500,Newmarket,Auckland,Auckland,masked,3386,3569,>950,949
138600,Blockhouse Bay North East,Auckland,Auckland,masked,1783,1989,>950,896
138700,Epsom North,Auckland,Auckland,masked,2850,3153,>950,904
138800,Wesley South,Auckland,Auckland,masked,49,65,>950,754
138900,Blockhouse Bay South,Auckland,Auckland,masked,3533,3885,>950,909
139000,Mount Eden East,Auckland,Auckland,masked,2457,2677,>950,918
139100,Wesley East,Auckland,Auckland,1610,1429,1758,916,813
