SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
126200,Hillcrest East (Auckland),Waitemata,Pacific Peoples,84,Masked,Masked,>950,>950
126300,Chatswood,Waitemata,Maori,109,93,91,853,835
126300,Chatswood,Waitemata,Pacific Peoples,59,56,55,949,932
126400,Te Atatu South-Edmonton,Waitemata,Maori,432,391,366,905,847
126400,Te Atatu South-Edmonton,Waitemata,Pacific Peoples,601,532,502,885,835
126500,Birkenhead North,Waitemata,Maori,133,Masked,121,>950,910
126500,Birkenhead North,Waitemata,Pacific Peoples,62,54,52,871,839
126600,Takapuna West,Waitemata,Maori,148,126,117,851,791
126600,Takapuna West,Waitemata,Pacific Peoples,78,72,72,923,923
126700,Henderson North,Waitemata,Maori,440,399,379,907,861
126700,Henderson North,Waitemata,Pacific Peoples,594,541,519,911,874
126800,Takapuna Central,Waitemata,Maori,75,Masked,Masked,>950,>950
126900,Western Heights (Auckland),Waitemata,Maori,331,290,275,876,831
126900,Western Heights (Auckland),Waitemata,Pacific Peoples,457,Masked,423,>950,926
127000,Te Atatu South-Central,Waitemata,Maori,402,381,374,948,930
127000,Te Atatu South-Central,Waitemata,Pacific Peoples,544,498,484,915,890
127100,Northcote Central (Auckland),Waitemata,Maori,187,175,163,936,872
127100,Northcote Central (Auckland),Waitemata,Pacific Peoples,219,206,198,941,904
127200,Akoranga,Waitemata,Maori,96.0,85.0,80.0,885,833
127200,Akoranga,Waitemata,Pacific Peoples,88.0,83.0,74.0,943,841
127300,Northcote South (Auckland),Waitemata,Maori,123,Masked,116,>950,943
127300,Northcote South (Auckland),Waitemata,Pacific Peoples,60,Masked,Masked,>950,>950
127400,Birkenhead South,Waitemata,Maori,78,Masked,Masked,>950,>950
127500,Henderson Central,Waitemata,Maori,149.0,130.0,118.0,872,792
127500,Henderson Central,Waitemata,Pacific Peoples,140.0,126.0,119.0,900,850
127600,Waiatarua,Waitemata,Maori,181,162,157,895,867
127600,Waiatarua,Waitemata,Pacific Peoples,65,Masked,Masked,>950,>950
127700,Te Atatu South-McLeod North,Waitemata,Maori,352,331,306,940,869
127700,Te Atatu South-McLeod North,Waitemata,Pacific Peoples,491,458,447,933,910
127800,Henderson Valley Park,Waitemata,Maori,334,298,271,892,811
127800,Henderson Valley Park,Waitemata,Pacific Peoples,559,Masked,518,>950,927
127900,Henderson North East,Waitemata,Maori,228,193,185,846,811
127900,Henderson North East,Waitemata,Pacific Peoples,376,333,317,886,843
128000,Waitakere Ranges South,Waitemata,Maori,85,Masked,Masked,>950,>950
128100,Northcote Tuff Crater,Waitemata,Maori,69,Masked,Masked,>950,>950
128100,Northcote Tuff Crater,Waitemata,Pacific Peoples,58,Masked,Masked,>950,>950
128200,Northcote Point (Auckland),Waitemata,Maori,133,Masked,Masked,>950,>950
128200,Northcote Point (Auckland),Waitemata,Pacific Peoples,66,Masked,Masked,>950,>950
128300,McLaren Park,Waitemata,Maori,520,475,446,913,858
128300,McLaren Park,Waitemata,Pacific Peoples,"1,073",946,898,882,837
128400,Henderson East,Waitemata,Maori,261,242,227,927,870
128400,Henderson East,Waitemata,Pacific Peoples,481,440,419,915,871
